id;name;pos;spec;nextcats;nextwords;conjugation;plural;special
1;run;IV;;;;;;
2;dance;IV;;;;;;
3;party;IV;;;;;;
4;sleep;IV;;;;;;
5;pick up;STV;;object;;;;
6;punch;STV;;object;;;;
7;kiss;STV;;object people;;;;
8;decorate;STV;;physical;;;;
9;draw;STV;;physical;;;;
10;push;MTV;;object;;;;
11;pull;MTV;;object;;;;
12;move;MTV;;object;;;;
13;roll;MTV;;object;;;;
14;a;SART;;;;;;
15;two;PART;;;;;;
16;several;PART;;;;;;
17;a lot of;PART;;;;;;
19;some;PART;;;;;;
20;big;ADJ;;;;;;
21;red;ADJ;;physical;;;;
22;mysterious;ADJ;;;;;;
23;heavy;ADJ;;physical;;;;
24;stupid;ADJ;;people abstract;;;;
25;wildly;ADJV;;;;;;
26;arrogantly;ADJV;;;;;;
27;solemnly;ADJV;;;;;;
28;brutally;ADJV;;;;;;
29;cleverly;ADJV;;;;;;
30;angrily;ADJV;;;;;;
31;calmly;ADJV;;;;;;
32;boat;N;transport;;;;;
33;tree;N;physical;;;;;
34;house;N;container;;;;;
35;lake;N;container;;;;;
40;ball;MN;object;;;;;
41;bicycle;MN;object;;;;;
42;fish;MN;alive edible;;;;fish;
43;cake;MN;edible object;;;;;
44;meaning;N;abstract;;;;;
45;on;P;;physical;;;;
46;in;P;;container pn;;;;
47;with;P;;people;;;;okayconj
48;near;P;;physical pn;;;;
49;over;MP;;physical;;;;
50;outside;P;;container;;;;
52;Greenland;PN;pn;;;;;
53;New York;PN;pn;;;;;
54;Australia;PN;pn;;;;;
55;while;CONJV;;;;participle;;
56;and;CONJV;;;;;;
57;and;CONJ;;;;;;
60;wearing;P;;clothing;;;;
62;dress;N;clothing;;;;;
63;hat;MN;clothing object;;;;;
64;ride;STV;;car;bicycle horse cow donkey turtle train;;;
65;horse;MN;alive;;;;;
66;cow;MN;alive;;;;;
67;donkey;MN;alive;;;;;
68;turtle;MN;alive;;;;;
69;train;N;transport;;;;;
70;eat;STV;;edible;;;;
71;Toyota;N;car;;;;;
72;into;MP;;container;;;;
73;through;MP;;container;;;;
74;up;ADV;;;;;;
75;down;ADV;;;;;;
76;away;ADV;;;;;;
77;across;MP;;crossable;;;;
78;street;N;crossable;;;;;
79;throw;MTV;;object;;;;
80;truck;N;transport;;;;;
81;person;N;people;;;;people;
82;field;N;container crossable;;;;;
83;plate;MN;object;;;;;
84;airplane;N;transport;;;;;
85;shopping kart;MN;container;;;;;
86;pillow;MN;object;;;;;
87;boy;N;people;;;;;
88;girl;N;people;;;;;
89;policeman;N;people;;;;policemen;
90;old;ADJ;;;;;;
91;play;IV;;;;;;
92;play;STV;;game;;;;
93;chess;N;game;;;;chess;
94;spin the bottle;N;game;;;;spin the bottle;
95;say;STV;;verbal;;;;
96;word;N;verbal;;;;;
97;profane;ADJ;;verbal;;;;
98;poem;N;verbal;;;;;
99;lie;N;verbal;;;;;
100;nice;ADJ;;;;;;
